iter	Passed	Remaining
419	2878	548
420	2884	541
421	2890	534
422	2897	527
423	2903	520
424	2908	513
425	2915	506
426	2921	499
427	2926	492
428	2933	485
429	2938	478
430	2945	471
431	2952	464
432	2958	457
433	2965	450
434	2970	443
435	2976	436
436	2982	429
437	2988	423
438	2995	416
439	3002	409
440	3009	402
441	3015	395
442	3021	388
443	3027	381
444	3032	374
445	3038	367
446	3044	360
447	3050	354
448	3057	347
449	3065	340
450	3070	333
451	3076	326
452	3082	319
453	3088	312
454	3094	306
455	3100	299
456	3106	292
457	3112	285
458	3118	278
459	3125	271
460	3131	264
461	3137	258
462	3143	251
463	3149	244
464	3156	237
465	3164	230
466	3171	224
467	3177	217
468	3184	210
469	3190	203
470	3196	196
471	3203	190
472	3210	183
473	3216	176
474	3223	169
475	3229	162
476	3236	156
477	3241	149
478	3248	142
479	3254	135
480	3260	128
481	3267	122
482	3272	115
483	3279	108
484	3286	101
485	3292	94
486	3299	88
487	3305	81
488	3311	74
489	3317	67
490	3323	60
491	3329	54
492	3335	47
493	3341	40
494	3347	33
495	3351	27
496	3357	20
497	3362	13
498	3367	6
499	3372	0
