iter	Logloss
0	0.4983030974
1	0.3547010147
2	0.2481621955
3	0.1781260515
4	0.1267120994
5	0.09149185395
6	0.06716644068
7	0.04890950218
8	0.03685250542
9	0.0275062703
10	0.02137173265
11	0.01642823706
12	0.01285825098
13	0.01039062831
14	0.008273031082
15	0.006470907818
16	0.00520452925
17	0.004212846122
18	0.003397175749
19	0.002776502971
20	0.002351946276
21	0.001926765585
22	0.001665540074
23	0.001401350767
24	0.001186890237
25	0.001030563127
26	0.0008753534144
27	0.0007701020561
28	0.0006740001437
29	0.0005965936814
30	0.0005402344921
31	0.00047667307
32	0.0004308409368
33	0.0003796469199
34	0.0003445173407
35	0.0003086079319
36	0.0002801778649
37	0.0002594078395
38	0.0002398285813
39	0.000222909885
40	0.000206637599
41	0.0001944517528
42	0.0001822407364
43	0.0001688869584
44	0.0001582164004
45	0.0001489255807
46	0.000141943022
47	0.0001350947404
48	0.0001281641974
49	0.0001205274358
50	0.0001141954124
51	0.000109517464
52	0.0001041847429
53	9.810564207e-05
54	9.436082549e-05
55	9.053555366e-05
56	8.663813078e-05
57	8.435936066e-05
58	8.084800708e-05
59	7.655130552e-05
60	7.336899273e-05
61	7.0753316e-05
62	6.78320603e-05
63	6.552475399e-05
64	6.31018776e-05
65	6.119722917e-05
66	5.858332836e-05
67	5.628057466e-05
68	5.452852811e-05
69	5.321473391e-05
70	5.160413994e-05
71	4.969718924e-05
72	4.841906182e-05
73	4.679777389e-05
74	4.54511707e-05
75	4.407490478e-05
76	4.264856864e-05
77	4.184902275e-05
78	4.071823256e-05
79	3.990248511e-05
80	3.875212679e-05
81	3.764274857e-05
82	3.657093796e-05
83	3.594600956e-05
84	3.494146777e-05
85	3.416951354e-05
86	3.334309981e-05
87	3.243753251e-05
88	3.172731249e-05
89	3.098773606e-05
90	3.011182169e-05
91	2.939066208e-05
92	2.874336591e-05
93	2.836485482e-05
94	2.788767435e-05
95	2.72537472e-05
96	2.685177659e-05
97	2.638221497e-05
98	2.587060046e-05
99	2.546568374e-05
100	2.503789752e-05
101	2.453554566e-05
102	2.416795581e-05
103	2.378216097e-05
104	2.333907639e-05
105	2.297282842e-05
106	2.250823985e-05
107	2.213232851e-05
108	2.183493205e-05
109	2.124423914e-05
110	2.097182149e-05
111	2.060548651e-05
112	2.006772477e-05
113	1.971278654e-05
114	1.934643372e-05
115	1.905606549e-05
116	1.880735846e-05
117	1.844077125e-05
118	1.812353479e-05
119	1.775085541e-05
120	1.741662928e-05
121	1.71359892e-05
122	1.654084344e-05
123	1.623773317e-05
124	1.595610389e-05
125	1.562729962e-05
126	1.530688355e-05
127	1.506044538e-05
128	1.486349182e-05
129	1.455200632e-05
130	1.435518544e-05
131	1.413990433e-05
132	1.388115577e-05
133	1.363151209e-05
134	1.336841096e-05
135	1.322245501e-05
136	1.30112567e-05
137	1.286404897e-05
138	1.268379841e-05
139	1.252008916e-05
140	1.232797296e-05
141	1.216521343e-05
142	1.20078512e-05
143	1.19021296e-05
144	1.172208071e-05
145	1.158996721e-05
146	1.143282581e-05
147	1.134999544e-05
148	1.12086056e-05
149	1.108555054e-05
150	1.095182994e-05
151	1.080000396e-05
152	1.067113443e-05
153	1.051402746e-05
154	1.037582521e-05
155	1.027282158e-05
156	1.014116202e-05
157	1.00405494e-05
158	9.919546124e-06
159	9.810068461e-06
160	9.656890454e-06
161	9.546042649e-06
162	9.403845329e-06
163	9.3113293e-06
164	9.237418742e-06
165	9.139044203e-06
166	9.052934893e-06
167	8.965867007e-06
168	8.876912396e-06
169	8.778159899e-06
170	8.71739642e-06
171	8.614289794e-06
172	8.531367169e-06
173	8.423741246e-06
174	8.32973376e-06
175	8.25432046e-06
176	8.180269655e-06
177	8.084680968e-06
178	8.000822937e-06
179	7.921140419e-06
180	7.831991705e-06
181	7.754592758e-06
182	7.657750334e-06
183	7.615159746e-06
184	7.545183411e-06
185	7.461332712e-06
186	7.377211288e-06
187	7.309688544e-06
188	7.224507255e-06
189	7.160146907e-06
190	7.082723818e-06
191	7.026013099e-06
192	6.934666169e-06
193	6.857936888e-06
194	6.797465661e-06
195	6.740643927e-06
196	6.671400493e-06
197	6.592502012e-06
198	6.545099835e-06
199	6.477677829e-06
200	6.477416886e-06
201	6.421237975e-06
202	6.339207789e-06
203	6.27954145e-06
204	6.278053468e-06
205	6.182253764e-06
206	6.129813878e-06
207	6.065024009e-06
208	6.012130571e-06
209	5.943332386e-06
210	5.92674531e-06
211	5.8814545e-06
212	5.843480023e-06
213	5.843611343e-06
214	5.788822971e-06
215	5.763904495e-06
216	5.763904495e-06
217	5.720329187e-06
218	5.671778997e-06
219	5.634811668e-06
220	5.581097094e-06
221	5.528614209e-06
222	5.475088872e-06
223	5.430010421e-06
224	5.429865743e-06
225	5.395829154e-06
226	5.351223866e-06
227	5.303924583e-06
228	5.250752357e-06
229	5.194425383e-06
230	5.140673944e-06
231	5.140444276e-06
232	5.140625212e-06
233	5.140444276e-06
234	5.093369694e-06
235	5.041338681e-06
236	5.003851196e-06
237	4.967162035e-06
238	4.926335324e-06
239	4.926051517e-06
240	4.872515013e-06
241	4.832130762e-06
242	4.831984706e-06
243	4.785489636e-06
244	4.784892937e-06
245	4.755678957e-06
246	4.701520716e-06
247	4.667889285e-06
248	4.613961806e-06
249	4.575459907e-06
250	4.528793753e-06
251	4.482633532e-06
252	4.446627033e-06
253	4.424387689e-06
254	4.388584763e-06
255	4.389168703e-06
256	4.388824184e-06
257	4.388769197e-06
258	4.348657718e-06
259	4.310388008e-06
260	4.310206366e-06
261	4.310023098e-06
262	4.281655386e-06
263	4.243942515e-06
264	4.207115678e-06
265	4.180497077e-06
266	4.147712948e-06
267	4.111990461e-06
268	4.077665641e-06
269	4.045390157e-06
270	4.023051514e-06
271	3.989841866e-06
272	3.954778874e-06
273	3.917049586e-06
274	3.883123476e-06
275	3.849466102e-06
276	3.811562951e-06
277	3.779354859e-06
278	3.746459287e-06
279	3.713966882e-06
280	3.685791918e-06
281	3.660181607e-06
282	3.627499341e-06
283	3.604509629e-06
284	3.576284706e-06
285	3.546609972e-06
286	3.51899965e-06
287	3.492099353e-06
288	3.466109121e-06
289	3.440034811e-06
290	3.417198206e-06
291	3.391783677e-06
292	3.36671911e-06
293	3.341591863e-06
294	3.316221492e-06
295	3.294098676e-06
296	3.269239463e-06
297	3.248431931e-06
298	3.226420413e-06
299	3.203551364e-06
300	3.181769399e-06
301	3.161499963e-06
302	3.141246813e-06
303	3.121009899e-06
304	3.097555849e-06
305	3.07609424e-06
306	3.055696675e-06
307	3.03425154e-06
