iter	Logloss
308	3.015504351e-06
309	2.995684211e-06
310	2.974679928e-06
311	2.956676411e-06
312	2.935072043e-06
313	2.916783557e-06
314	2.898564772e-06
315	2.88246439e-06
316	2.861962871e-06
317	2.842108851e-06
318	2.82452269e-06
319	2.806840842e-06
320	2.78860149e-06
321	2.768403963e-06
322	2.749317924e-06
323	2.734278871e-06
324	2.717028849e-06
325	2.696929644e-06
326	2.679348084e-06
327	2.663276921e-06
328	2.644140036e-06
329	2.627703408e-06
330	2.608255757e-06
331	2.592302505e-06
332	2.57566818e-06
333	2.560320303e-06
334	2.543495663e-06
335	2.529102532e-06
336	2.51361213e-06
337	2.496166423e-06
338	2.480619498e-06
339	2.46681102e-06
340	2.451990701e-06
341	2.437522023e-06
342	2.421396849e-06
343	2.404281819e-06
344	2.390293198e-06
345	2.376707419e-06
346	2.360652088e-06
347	2.348096625e-06
348	2.33570718e-06
349	2.320937095e-06
350	2.307693507e-06
351	2.295395997e-06
352	2.281941536e-06
353	2.270155113e-06
354	2.256618021e-06
355	2.246682553e-06
356	2.235139936e-06
357	2.226275008e-06
358	2.215053665e-06
359	2.203842561e-06
360	2.193380558e-06
361	2.180649968e-06
362	2.172051427e-06
363	2.160361231e-06
364	2.151523206e-06
365	2.151631768e-06
366	2.151721493e-06
367	2.14063238e-06
368	2.130015869e-06
369	2.119934765e-06
370	2.110270078e-06
371	2.099067652e-06
372	2.098741968e-06
373	2.099056626e-06
374	2.098953595e-06
375	2.099092071e-06
376	2.091256331e-06
377	2.083231552e-06
378	2.074622808e-06
379	2.074936688e-06
380	2.072352049e-06
381	2.064543416e-06
382	2.062059707e-06
383	2.055637154e-06
384	2.047077564e-06
385	2.047275869e-06
386	2.040181065e-06
387	2.031925214e-06
388	2.031991404e-06
389	2.027179566e-06
390	2.018836624e-06
391	2.008595963e-06
392	2.001957861e-06
393	1.998979651e-06
394	1.992019349e-06
395	1.984754687e-06
396	1.984647152e-06
397	1.984665264e-06
398	1.983777973e-06
399	1.979600431e-06
400	1.979386737e-06
401	1.97965814e-06
402	1.979462486e-06
403	1.979121182e-06
404	1.970748818e-06
405	1.961674715e-06
406	1.962416551e-06
407	1.96169136e-06
408	1.961836126e-06
409	1.962046923e-06
410	1.962071271e-06
411	1.961944599e-06
412	1.961987076e-06
413	1.961769954e-06
414	1.961751825e-06
415	1.961823545e-06
416	1.961356983e-06
417	1.961386208e-06
418	1.961500335e-06
419	1.9615003e-06
420	1.9615003e-06
421	1.9615003e-06
422	1.9615003e-06
423	1.9615003e-06
424	1.9615003e-06
425	1.9615003e-06
426	1.9615003e-06
427	1.9615003e-06
428	1.9615003e-06
429	1.9615003e-06
430	1.9615003e-06
431	1.9615003e-06
432	1.9615003e-06
433	1.9615003e-06
434	1.9615003e-06
435	1.9615003e-06
436	1.9615003e-06
437	1.9615003e-06
438	1.9615003e-06
439	1.9615003e-06
440	1.9615003e-06
441	1.9615003e-06
442	1.9615003e-06
443	1.9615003e-06
444	1.9615003e-06
445	1.9615003e-06
446	1.9615003e-06
447	1.9615003e-06
448	1.9615003e-06
449	1.9615003e-06
450	1.9615003e-06
451	1.9615003e-06
452	1.9615003e-06
453	1.9615003e-06
454	1.9615003e-06
455	1.9615003e-06
456	1.9615003e-06
457	1.9615003e-06
458	1.9615003e-06
459	1.9615003e-06
460	1.9615003e-06
461	1.9615003e-06
462	1.9615003e-06
463	1.9615003e-06
464	1.9615003e-06
465	1.9615003e-06
466	1.9615003e-06
467	1.9615003e-06
468	1.9615003e-06
469	1.9615003e-06
470	1.9615003e-06
471	1.9615003e-06
472	1.9615003e-06
473	1.9615003e-06
474	1.9615003e-06
475	1.9615003e-06
476	1.9615003e-06
477	1.9615003e-06
478	1.9615003e-06
479	1.9615003e-06
480	1.9615003e-06
481	1.9615003e-06
482	1.9615003e-06
483	1.9615003e-06
484	1.9615003e-06
485	1.9615003e-06
486	1.9615003e-06
487	1.9615003e-06
488	1.9615003e-06
489	1.9615003e-06
490	1.9615003e-06
491	1.9615003e-06
492	1.9615003e-06
493	1.9615003e-06
494	1.9615003e-06
495	1.9615003e-06
496	1.9615003e-06
497	1.9615003e-06
498	1.9615003e-06
499	1.9615003e-06
